
Image Name                     PID Session Name        Session#    Mem Usage
CS6ServiceManager.exe        39388 Console                    1      7,888 K
svchost.exe                  81416 Services                   0      5,792 K
svchost.exe                  82864 Services                   0      6,848 K
svchost.exe                  81576 Services                   0      8,004 K
chrome.exe                   88880 Console                    1    107,280 K
chrome.exe                   86600 Console                    1     22,812 K
SearchProtocolHost.exe       88276 Services                   0     13,828 K
SearchFilterHost.exe         77020 Services                   0     10,352 K
SearchProtocolHost.exe       88428 Console                    1      8,016 K
POWERPNT.EXE                 15380 Console                    1     97,428 K
WmiPrvSE.exe                 26344 Services                   0     11,568 K
sppsvc.exe                   21208 Services                   0     12,728 K
cmd.exe                       9744 Console                    1      3,816 K
conhost.exe                  18640 Console                    1     16,560 K
main.exe                     25740 Console                    1      4,196 K
svchost.exe                  24876 Services                   0     15,452 K
cmd.exe                      31400 Console                    1      4,508 K
tasklist.exe                 31896 Console                    1      8,692 K
